player_id,player_display_name,position,team,season,week,receptions,targets,receiving_yards,rushing_tds,receiving_tds,opponent_team,wopr,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,total_tds,merge_name,redzone_target_share,redzone_trips,redzone_tds,redzone_td_rate,pass_rate,endzone_targets,endzone_target_share,spread_line,total_line,implied_total,inside_5_target_share,rec_touchdown_exp,rec_touchdown_exp_team,explosive_receiving_plays,passing_tds_allowed_to_WR,passing_tds_allowed_to_TE,passing_tds_allowed_to_LB,passing_tds_allowed_to_DB,explosive_receiving_plays_allowed,receiving_yards_allowed,receiving_epa_allowed,receiving_air_yards_allowed,depth_chart_rank,offense_snap_share,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,game_id,home_team,away_team,weekday,gametime,roof,surface,temp,wind,div_game
00-0029000,Cole Beasley,WR,BUF,2020,1,4,7,58,0,0,NYJ,0.35376344086021505,2.6784988113795407,0.15555555555555556,48,0.17204301075268819,1.2083333333333333,0,0,cole beasley,0.06666666666666667,8.0,3.0,0.375,0.5897435897435898,1.0,0.021739130434782608,-6.5,39.5,23.0,0.25,0.52,3.8400000000000003,1.0,1.0,0.0,0.0,0.0,3.0,312,17.974840044016176,274,1,0.63,6.321666666666666,4.026390442988163,7.337142857142858,18.912250985013074,57.14285714285714,8.37179753895839,-5.331797538958391,2020_01_NYJ_BUF,BUF,NYJ,Sunday,13:00,outdoors,astroturf,67.0,15.0,1
00-0029119,Derek Carrier,TE,LV,2020,1,0,0,0,0,0,CAR,0.0,0.0,0.0,0,0.0,0.0,0,0,derek carrier,0.0,5.0,3.0,0.6,0.4918032786885246,0.0,0.0,-3.0,48.0,25.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,239,12.724617309849643,161,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_LV_CAR,CAR,LV,Sunday,13:00,outdoors,grass,81.0,5.0,0
00-0029293,Marvin Jones,WR,DET,2020,1,4,8,55,0,0,CHI,0.4244033569367952,-4.487987340710876,0.1951219512195122,70,0.1881720430107527,0.7857142857142857,0,0,marvin jones,0.14285714285714285,6.0,2.0,0.3333333333333333,0.5915492957746479,1.0,0.023809523809523808,-2.5,42.5,22.5,0.0,0.32,2.38,1.0,0.0,1.0,0.0,0.0,5.0,297,4.171476802119365,372,1,0.91,6.796249999999999,1.7532825542736261,9.0525,19.037354433374524,50.0,4.06819613536851,0.3268038646314917,2020_01_CHI_DET,DET,CHI,Sunday,13:00,dome,fieldturf,0.0,0.0,1
00-0029608,T.Y. Hilton,WR,IND,2020,1,4,9,53,0,0,JAX,0.5574921017000151,-3.8162874928021284,0.1956521739130435,109,0.3771626297577855,0.48623853211009177,0,0,ty hilton,0.125,7.0,2.0,0.2857142857142857,0.6764705882352942,1.0,0.021739130434782608,-8.0,45.0,26.5,0.0,0.51,1.93,1.0,0.0,0.0,0.0,0.0,4.0,363,9.91244937595375,289,1,0.8,4.064444444444444,2.347359580603562,12.445555555555558,39.93368747548933,44.44444444444444,1.3735428231544078,-1.2560428231544063,2020_01_IND_JAX,JAX,IND,Sunday,13:00,outdoors,grass,80.0,3.0,1
00-0029738,Darren Fells,TE,HOU,2020,1,2,2,19,0,0,KC,0.11161518294768039,0.9488177325110883,0.06451612903225806,6,0.02120141342756184,3.1666666666666665,0,0,darren fells,0.0,3.0,3.0,1.0,0.5925925925925926,0.0,0.0,9.0,54.0,22.5,0.0,0.0,1.1300000000000001,0.0,0.0,1.0,0.0,0.0,3.0,253,8.463132031025175,260,1,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_HOU_KC,KC,HOU,Thursday,20:20,outdoors,grass,56.0,7.0,0
00-0030035,Adam Thielen,WR,MIN,2020,1,6,8,110,0,2,GB,0.8549063670411985,8.541484934612644,0.32,143,0.5355805243445693,0.7692307692307693,1,2,adam thielen,1.0,5.0,3.0,0.6,0.5319148936170213,2.0,0.08,-2.5,44.5,23.5,1.0,0.53,0.9400000000000001,2.0,2.0,0.0,0.0,0.0,5.0,259,11.35531363507329,267,1,0.96,8.04375,1.4865547721878625,18.69375,55.4690107933682,75.0,0.5700014418244117,-0.2283347751577443,2020_01_GB_MIN,MIN,GB,Sunday,13:00,dome,sportturf,0.0,0.0,1
00-0030061,Zach Ertz,TE,PHI,2020,1,3,7,18,0,1,WAS,0.3267307692307692,-1.4717749893316068,0.16666666666666666,57,0.10961538461538461,0.3157894736842105,1,1,zach ertz,0.25,3.0,1.0,0.3333333333333333,0.711864406779661,1.0,0.023809523809523808,-5.0,42.0,23.5,1.0,0.77,1.56,0.0,0.0,2.0,0.0,0.0,4.0,270,-0.8004105225263629,520,1,0.85,5.118333333333333,2.944390547144035,9.269999999999998,12.891882226725471,42.857142857142854,2.4251370291558487,-0.6718036958225149,2020_01_PHI_WAS,WAS,PHI,Sunday,13:00,outdoors,grass,76.0,5.0,1
00-0030085,Kenny Stills,WR,HOU,2020,1,0,2,0,0,0,KC,0.17097914054485353,-1.9798786489991471,0.06451612903225806,30,0.10600706713780919,0.0,0,0,kenny stills,0.0,3.0,3.0,1.0,0.5925925925925926,0.0,0.0,9.0,54.0,22.5,0.0,0.03,1.1300000000000001,0.0,0.0,1.0,0.0,0.0,3.0,253,8.463132031025175,260,2,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_HOU_KC,KC,HOU,Thursday,20:20,outdoors,grass,56.0,7.0,0
00-0030108,Ryan Griffin,TE,NYJ,2020,1,0,0,0,0,0,BUF,0.0,0.0,0.0,0,0.0,0.0,0,0,ryan griffin,0.0,3.0,1.0,0.3333333333333333,0.7,0.0,0.0,6.5,39.5,16.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,215,-4.918799121631309,257,2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_NYJ_BUF,BUF,NYJ,Sunday,13:00,outdoors,astroturf,67.0,15.0,1
00-0030155,Demetrius Harris,TE,CHI,2020,1,0,1,0,0,0,DET,0.06774116523400191,-0.7492729149525985,0.027777777777777776,13,0.03724928366762178,0.0,0,0,demetrius harris,0.09090909090909091,5.0,2.0,0.4,0.5625,1.0,0.027777777777777776,2.5,42.5,20.0,0.0,0.41,4.06,0.0,2.0,1.0,0.0,0.0,3.0,242,4.312619184923225,349,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_CHI_DET,DET,CHI,Sunday,13:00,dome,fieldturf,0.0,0.0,1
