player_name,team,opponent_team,position,predicted_touchdown_probability,price,market_implied_prob,model_edge
Kendre Miller,NO,ARI,RB,0.2286784660323392,700.0,0.125,0.10367846603233921
John Metchie,HOU,LA,WR,0.22831501172415206,1100.0,0.08333333333333333,0.1449816783908187
Ray Davis,BUF,BAL,RB,0.22740311081224804,320.0,0.23809523809523808,-0.010692127282990044
Demario Douglas,NE,LV,WR,0.22570770229913514,300.0,0.25,-0.024292297700864857
Elijah Mitchell,KC,LAC,RB,0.2251390427718923,370.0,0.2127659574468085,0.012373085325083799
DK Metcalf,PIT,NYJ,WR,0.22082038801703605,195.0,0.3389830508474576,-0.11816266283042157
Daniel Jones,IND,MIA,QB,0.2204157950173255,275.0,0.26666666666666666,-0.04625087164934116
David Njoku,CLE,CIN,TE,0.2201966065576915,190.0,0.3448275862068966,-0.12463097964920508
Sean Tucker,TB,ATL,RB,0.21837260018389504,700.0,0.125,0.09337260018389504
Dante Pettis,NO,ARI,WR,0.21652965658807147,1900.0,0.05,0.16652965658807145
Patrick Taylor,SF,SEA,RB,0.2129134522596873,1300.0,0.07142857142857142,0.14148488083111588
Mike Gesicki,CIN,CLE,TE,0.21288811116389184,400.0,0.2,0.012888111163891824
Cooper Kupp,SEA,SF,WR,0.21164667011049454,210.0,0.3225806451612903,-0.11093397505079577
T.J. Hockenson,MIN,CHI,TE,0.2107447034977012,265.0,0.273972602739726,-0.06322789924202482
Simi Fehoko,ARI,NO,WR,0.20945067298780584,1100.0,0.08333333333333333,0.12611733965447253
Dontayvion Wicks,GB,DET,WR,0.20590039909197994,360.0,0.21739130434782608,-0.011490905255846146
Tyler Allgeier,ATL,TB,RB,0.20583764483659206,265.0,0.273972602739726,-0.06813495790313395
Ty Johnson,BUF,BAL,RB,0.2054275616491246,600.0,0.14285714285714285,0.06257041879198175
Andrei Iosivas,CIN,CLE,WR,0.20372127881339797,350.0,0.2222222222222222,-0.018500943408824244
Dalton Schultz,HOU,LA,TE,0.2037157490577896,260.0,0.2777777777777778,-0.07406202871998818
Bryce Young,CAR,JAX,QB,0.20364398653312119,400.0,0.2,0.003643986533121174
Jaret Patterson,LAC,KC,RB,0.20206752566749114,1100.0,0.08333333333333333,0.11873419233415781
Zack Moss,CIN,CLE,RB,0.20105667936378394,275.0,0.26666666666666666,-0.06560998730288273
Xavier Legette,CAR,JAX,WR,0.2003410140389797,310.0,0.24390243902439024,-0.043561424985410546
Devin Culp,TB,ATL,TE,0.19842814772892814,1800.0,0.05263157894736842,0.14579656878155972
Elijah Moore,BUF,BAL,WR,0.19632118733061169,475.0,0.17391304347826086,0.02240814385235082
Raheem Mostert,LV,NE,RB,0.19533980747170585,425.0,0.19047619047619047,0.00486361699551538
Jordan Whittington,LA,HOU,WR,0.19466797774914635,475.0,0.17391304347826086,0.020754934270885483
Justice Hill,BAL,BUF,RB,0.19154719354677394,550.0,0.15384615384615385,0.03770103970062008
Brenton Strange,JAX,CAR,TE,0.1888502443399058,290.0,0.2564102564102564,-0.06756001207035059
Javonte Williams,DAL,PHI,RB,0.18871713672482013,265.0,0.273972602739726,-0.08525546601490588
Kyle Pitts,ATL,TB,TE,0.18835435588975302,260.0,0.2777777777777778,-0.08942342188802477
Austin Hooper,NE,LV,TE,0.1868709027674792,600.0,0.14285714285714285,0.04401375991033635
Lamar Jackson,BAL,BUF,QB,0.1865456499556561,165.0,0.37735849056603776,-0.19081284061038167
Marquez Valdes-Scantling,SEA,SF,WR,0.18489833889670862,400.0,0.2,-0.015101661103291392
Roschon Johnson,CHI,MIN,RB,0.18480729482937816,185.0,0.3508771929824561,-0.16606989815307796
Theo Johnson,NYG,WAS,TE,0.18429506202306217,550.0,0.15384615384615385,0.030448908176908318
Jamal Agnew,ATL,TB,WR,0.18394977341421478,1000.0,0.09090909090909091,0.09304068250512387
Nick Westbrook-Ikhine,MIA,IND,WR,0.18315845482991672,450.0,0.18181818181818182,0.0013402730117348938
Kyler Murray,ARI,NO,QB,0.18312602304338285,225.0,0.3076923076923077,-0.12456628464892486
Bub Means,NO,ARI,WR,0.18279783766522897,1000.0,0.09090909090909091,0.09188874675613806
Tim Patrick,DET,GB,WR,0.18242909053032436,500.0,0.16666666666666666,0.0157624238636577
Tyler Higbee,LA,HOU,TE,0.18175406940486957,310.0,0.24390243902439024,-0.062148369619520666
Jalen Tolbert,DAL,PHI,WR,0.18020835039985472,425.0,0.19047619047619047,-0.010267840076335744
Foster Moreau,NO,ARI,TE,0.17948184241571014,1300.0,0.07142857142857142,0.10805327098713871
Juwan Johnson,NO,ARI,TE,0.17925831472143305,330.0,0.23255813953488372,-0.053299824813450664
Tucker Kraft,GB,DET,TE,0.17858468760492405,200.0,0.3333333333333333,-0.15474864572840927
Chris Rodriguez,WAS,NYG,RB,0.17843706559056305,800.0,0.1111111111111111,0.06732595447945194
Tyler Scott,CHI,MIN,WR,0.17597504912820772,1100.0,0.08333333333333333,0.09264171579487439
Dyami Brown,JAX,CAR,WR,0.17472987461342798,360.0,0.21739130434782608,-0.0426614297343981
Devaughn Vele,DEN,TEN,WR,0.17333480100169926,370.0,0.2127659574468085,-0.03943115644510925
Russell Wilson,NYG,WAS,QB,0.17279387394071738,500.0,0.16666666666666666,0.006127207274050722
Sterling Shepard,TB,ATL,WR,0.1723364846467492,900.0,0.1,0.07233648464674919
Chris Moore,WAS,NYG,WR,0.17146570660900892,900.0,0.1,0.07146570660900892
