player_id,player_display_name_x,position,recent_team,season,week,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,opponent_team,wopr,rushing_epa,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,redzone_carry_share,redzone_target_share,redzone_trips,redzone_tds,redzone_td_rate,endzone_targets,endzone_target_share,team,spread_line,total_line,implied_total,inside_5_carry_share,inside_5_target_share,rushing_tds_allowed_to_DB,rushing_tds_allowed_to_QB,rushing_tds_allowed_to_RB,rushing_tds_allowed_to_TE,rushing_tds_allowed_to_WR,passing_tds_allowed_to_DB,passing_tds_allowed_to_DL,passing_tds_allowed_to_LB,passing_tds_allowed_to_OL,passing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,passing_tds_allowed_to_WR,depth_chart_rank,offense_snap_share,player_display_name_y,rush_yards_over_expected_per_att,rush_pct_over_expected,avg_time_to_los,percent_attempts_gte_eight_defenders,player_display_name,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,avg_carries,avg_rushing_yards,avg_receptions,avg_receiving_yards,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_target_share,avg_receiving_air_yards,avg_racr,avg_scored_touchdown,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_avg_cushion,avg_avg_separation,avg_avg_intended_air_yards,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,team_continuity,rush_matchup_value,pass_matchup_value,position_encoded,opponent_encoded
00-0036893,Najee Harris,RB,PIT,2024,3,18,70.0,0,5,5,16.0,0,LAC,0.21751688,-1.7364287,-1.3004572,0.16129032,-6.0,-0.034883723,-2.6666667,0,0.5,0.0,5.0,1.0,0.3514709764415349,0.0,0.0,PIT,-2.5,35.5,19.0,0.0,0.0,0.0,0.0041044904076902,0.6396686421801162,9.40778817840093e-24,0.0622082456376886,0.0,0.0,0.0,0.0,0.0,0.0008245380989698,0.8382629429464378,0.6567047039532327,1,0.59,Najee Harris,-0.1349942859108108,0.2777777777777778,2.737133333333333,5.555555555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6000090719478,44.40003717373606,1.0581986383834805,6.039953468221182,0.1296164754547506,-1.4230041088903047,-0.6295548346779085,0.0848307118383264,1.9353773776613283,-2.7560724687452747,2.6730542882389816e-07,0.5200003379254298,0.0018030387368356,1.1995186057815814e-08,2.9932776632247983e-10,0.2400001158171036,5.916999537819912e-08,0.4616643416270848,-0.4258582554688517,0.213158160632865,1.8181239164906464,14.1647147219405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3326279100939612,1.486674132439512e-06,1,17
00-0036893,Najee Harris,RB,PIT,2024,4,13,19.0,0,3,6,54.0,0,IND,0.2421942,-5.429815,2.0085514,0.1875,-13.0,-0.055793993,-4.1538463,0,0.4,0.125,4.0,3.0,0.290882585864921,0.0,0.0,PIT,-2.5,40.5,21.5,0.33333334,0.0,0.0,0.5055635248510267,0.895180241538757,9.521558786129976e-24,1.5924242662400558e-27,0.0,0.0,0.0,0.0,0.0,0.0122621150651479,0.1311030701644117,0.6912579154689058,1,0.69,Najee Harris,-2.279178877711097,0.0769230769230769,2.7260833333333334,23.07692307692308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.160005443168682,54.64002230424164,2.634919183030089,10.023972080932712,0.1647766389559406,-1.5483739603903357,-0.8979157964671456,0.1154145542125234,-1.238773573403204,-2.720310179702976,1.603832572943389e-07,0.5120002027552578,0.0010818232421013,7.197111634689488e-09,1.795966597934879e-10,0.1440000694902621,3.550199722691947e-08,0.5129986049762509,-0.3095126676456354,0.2390060074908301,2.185727683227721,10.72105105538652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4583324651703442,1.3265441074798622e-05,1,13
00-0036893,Najee Harris,RB,PIT,2024,5,14,42.0,0,2,2,35.0,0,DAL,0.11034864,0.8491993,2.8756578,0.07692308,-2.0,-0.007194245,-17.5,0,1.0,0.0,2.0,2.0,0.4745295515189527,0.0,0.0,PIT,-2.5,44.0,23.25,0.0,0.0,0.0,0.0040458596316143,0.2467081539850523,2.437438960042312e-05,3.413326590935377e-26,0.0,0.0,0.0,0.0,0.0,0.0025360390089642,0.0898180482964605,1.0869439374926662,1,0.74,Najee Harris,-0.8357873442467815,0.3076923076923077,3.2434615384615384,42.85714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.696003265901211,40.384013382544985,2.780951509818053,27.614383248559637,0.1957436655825793,-3.100950302442698,0.2646710657903672,0.1442487325275141,-5.943264144041924,-3.293724613375985,9.622995437660333e-08,0.4672001240373404,0.0506490939452608,4.318266980813692e-09,1.0775799587609272e-10,0.2197333790011336,2.1301198336151682e-08,0.5837991629857505,-1.0973791516718203,0.1741728352637288,2.4018699432699666,15.663399864001144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1152620801428397,0.0001284480780138,1,8
00-0036893,Najee Harris,RB,PIT,2024,6,14,106.0,1,2,2,16.0,0,LV,0.1520207,3.6620972,0.5415101,0.08695652,7.0,0.030837005,2.2857144,1,0.22222222,0.0,5.0,2.0,0.6847177309113717,0.0,0.0,PIT,-3.0,36.5,19.75,0.25,0.0,0.0,0.0186624885541424,0.2821764740015678,0.0,0.1440031589208922,0.0,0.0,0.0,0.0,0.0,0.1442342666128049,0.400474804355356,0.8357026398926969,1,0.46,Najee Harris,4.492078701739559,0.4285714285714285,2.965333333333333,14.285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.81760195954073,41.030408029527,2.4685709058908323,30.568629949135783,0.1615856560985099,-1.5208904634480402,1.309065758218117,0.1173184714319824,-4.365958486425154,-8.976234768025593,5.7737972625962e-08,0.6803200744224044,0.0303894563671565,2.590960188488215e-09,6.465479752565563e-11,0.1318400274006801,1.2780719001691006e-08,0.6462794977914504,-0.9927424287018052,0.2275806242351604,2.7385065813465954,26.540897061257837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1919703197929983,0.0043832009518786,1,18
00-0036893,Najee Harris,RB,PIT,2024,7,21,102.0,1,0,1,0.0,0,NYJ,0.058751903,1.4376682,-0.78737485,0.037037037,1.0,0.00456621,0.0,1,0.61538464,0.0,6.0,4.0,0.570830638546823,0.0,0.0,PIT,2.5,40.5,19.0,0.33333334,0.0,0.0,1.1398421461370318,1.0877122503181078,5.264868153690676e-06,3.15892089221479e-06,0.0,7.315496087524561e-25,0.0,0.3264,4.371258961552304e-23,0.0040365304862361,0.3517893253669178,0.4863578673660641,1,0.49,Najee Harris,0.8355125557884229,0.4,2.804578947368421,4.761904761904762,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89056117572444,67.01824481771621,2.2811425435345,24.74117796948147,0.1577596707892329,0.5523046081921628,1.002043496984093,0.1051736922027182,0.1804249081449087,-4.471455105657884,0.4000000346427837,0.4970809342046053,0.0182336738202939,1.5545761130929287e-09,3.8792878515393366e-11,0.1791040164404081,7.668431401014603e-09,0.5717676986748703,1.2011860234747411,0.3079769459696677,2.8292372821412908,21.63882395104041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5406810215339186,7.360078025170289e-05,1,24
00-0036893,Najee Harris,RB,PIT,2024,8,19,114.0,0,3,4,17.0,0,NYG,0.22766969,2.3383665,-0.6227298,0.14814815,2.0,0.007782101,8.5,0,0.6,0.0,5.0,0.0,0.6091650497947605,0.0,0.0,PIT,-6.0,37.5,21.75,1.0,0.0,0.0,0.0117848867731478,0.8330531306548259,5.528247339907451e-11,1.1347984982834115e-16,0.0,0.0,0.0,2.208308265923345e-14,1.9854434471779525e-18,0.0024186789533457,0.0038799267327511,1.2238913223664367,1,0.59,Najee Harris,2.13854386022606,0.6111111111111112,2.7281052631578944,21.052631578947366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.734336705434664,81.01094689062973,1.3686855261206996,14.84470678168888,0.1181565638632721,0.9064500466383204,0.2862761565553238,0.0779190302468247,0.5082549448869453,-2.68287306339473,0.6400000207856703,0.5444024158465547,0.0109402042921763,9.32745667855757e-10,2.3275727109236022e-11,0.2407957471712212,4.601058840608761e-09,0.5390606192049223,1.054916636400214,0.3447861675818007,2.8193739482321427,14.88805627538615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4535161368570228,2.6460841866790236e-05,1,23
00-0036893,Najee Harris,RB,PIT,2024,10,21,53.0,1,0,0,0.0,0,WAS,0.0,-3.810661,0.0,0.0,0.0,0.0,0.0,1,0.625,0.0,5.0,3.0,0.3654990298768562,0.0,0.0,PIT,2.0,45.0,21.5,1.0,0.0,0.0,0.0193273161275708,0.6332663702281129,0.0,1.269594947359523e-21,0.0,0.0,0.0,2.533611466518916e-15,0.0,0.1430792951189194,0.3991482430046336,0.4266967913906299,1,0.47,Najee Harris,-1.6240413338870705,0.15,2.949631578947368,52.38095238095239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6406020232608,94.20656813437785,2.02121131567242,15.706824069013331,0.1619618127495734,1.4792166313765471,-0.0773262173827237,0.1060106778488699,1.1049529669321676,1.7902761619631633,0.3840000124714021,0.566641459044676,0.0065641225753058,5.596474007134543e-10,1.3965436265541612e-11,0.5444774483027328,2.760635304365256e-09,0.5594363715229534,1.4883675259305524,0.451316144993525,2.782866474202444,17.35388639681064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3588349799899838,0.0009391900311489,1,31
00-0036893,Najee Harris,RB,PIT,2024,11,18,63.0,0,4,5,30.0,0,BAL,0.18691738,-4.493675,0.6674236,0.15625,-12.0,-0.06779661,-2.5,0,1.0,0.0,4.0,0.0,0.4592994179261138,0.0,0.0,PIT,3.0,48.0,22.5,1.0,0.0,0.0,0.0042275952852046,0.5026146884526901,0.0,4.0623982667366336e-05,0.0,0.0,0.0,1.1729682715365355e-14,1.4852771709826315e-09,0.1648572267484471,0.0892332419330666,0.7864393773676814,1,0.58,Najee Harris,-1.2577872067797646,0.2941176470588235,2.655705882352941,33.33333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.984361213956483,77.72394088062671,1.212726789403452,9.424094441407998,0.097177087649744,-0.6367344521738283,-0.0463957304296342,0.0636064067093219,0.6629717801593006,1.074165697177898,0.6304000074828414,0.5899848754268057,0.0039384735451834,3.3578844042807244e-10,8.379261759324967e-12,0.7266864689816399,1.6563811826191534e-09,0.5236618229137721,0.243403982003503,0.330789686996115,2.8495725161004133,31.364712790467344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2965350643544431,0.000649285826281,1,2
00-0036893,Najee Harris,RB,PIT,2024,12,16,41.0,0,2,2,13.0,0,CLE,0.11,-5.1213713,0.8932427,0.08,-4.0,-0.014285714,-3.25,0,0.25,0.33333334,3.0,1.0,0.2755796507556682,0.0,0.0,PIT,-3.5,36.5,20.0,0.0,0.0,0.0,0.0864074589330714,0.9179367970996238,5.732727358464202e-27,0.0114261379764977,0.0,0.0,0.0,0.0,0.0,0.0008758933451365,0.0558241445583651,0.4766294400250814,1,0.39,Najee Harris,-0.4701973705837252,0.4375,2.8617692307692306,56.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59061672837389,71.83436452837603,2.327636073642072,17.6544566648448,0.1330732043892391,-2.179510764077735,0.2391320041097732,0.1006638440255932,-4.402216931904421,-0.3555005816932616,0.3782400044897048,0.7539909252560835,0.00236308412711,2.0147306425684347e-10,5.02755705559498e-12,0.836011881388984,9.93828709571492e-10,0.5461970937482633,-0.3570724935098042,0.3161208710211984,2.7720258626014247,32.15216100761374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6921160149717511,2.0698096609334663e-06,1,7
00-0036893,Najee Harris,RB,PIT,2024,13,16,75.0,1,6,6,54.0,0,CIN,0.19587629,2.904245,5.2391386,0.16666667,-15.0,-0.077319585,-3.6,1,0.75,0.0,6.0,2.0,0.2986811237867343,0.0,0.0,PIT,3.0,46.0,21.5,0.5,0.0,0.0,0.0300683724871303,0.9752235199578934,2.0320822465346e-24,0.4000000000249471,0.0,0.0,0.0,1.4738261314715518e-07,0.0,0.0864791582849017,0.1097998877890107,0.9729937390899682,1,0.52,Najee Harris,1.5577832010603243,0.4285714285714285,2.7196,18.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.554370037024338,59.50061871702562,2.1965816441852435,15.792673998906883,0.1238439223951249,-3.3562549661370715,0.5007762891815624,0.0923983057001001,-4.241330159142653,-1.5133003490159571,0.2269440026938229,0.5523945551536501,0.1347511877832424,1.2088383855410607e-10,3.016534233356988e-12,0.5016071288333903,5.962972257428951e-10,0.483718256248958,-0.4023224443393727,0.3646725226127191,2.807923209868548,41.79129660456825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5387081624825173,0.0116531692973855,1,6
