player_id,player_display_name,position,recent_team,opponent_team,season,week,scored_touchdown,avg_offense_snap_share,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_racr,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,rush_matchup_value,pass_matchup_value,avg_rushing_tds_allowed_to_RB,avg_passing_tds_allowed_to_RB,implied_total,depth_chart_rank,avg_scored_touchdown,position_group,avg_target_share,avg_avg_separation,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,avg_passing_tds_allowed_to_WR,avg_passing_tds_allowed_to_TE,avg_receptions,avg_receiving_yards,avg_receiving_air_yards,avg_avg_intended_air_yards,avg_carries,avg_rushing_yards,avg_rushing_tds_allowed_to_QB
00-0034844,Saquon Barkley,RB,PHI,ATL,2024,2,0,0.8,0.16826309263706207,0.019751176238059998,3.153489351272583,1.149999976158142,1.1182987608715926,0.5,2.6635000000000004,25.0,0.6666666865348816,0.1666666716337204,1.0,0.029411764705882353,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,26.0,1,1.0,RB,,,,,,,,,,,,,,,
00-0034972,Alexander Mattison,RB,LVR,BAL,2024,2,1,0.6,0.21412670612335205,-1.7757118940353394,-1.0676941871643066,-3.0714285373687744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.5,2,1.0,RB,,,,,,,,,,,,,,,
00-0034975,Justice Hill,RB,BAL,LV,2024,2,0,0.54,0.26853933930397034,0.4434194564819336,2.870604991912842,-4.333333492279053,0.0,0.0,0.0,0.0,0.20000000298023224,0.25,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,1.0,0.0,25.0,2,0.0,RB,,,,,,,,,,,,,,,
00-0035243,Miles Sanders,RB,CAR,LAC,2024,2,0,0.37,0.15714146196842194,-1.3373483419418335,-0.6795641779899597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2,0.0,RB,,,,,,,,,,,,,,,
00-0035250,Devin Singletary,RB,NYG,WAS,2024,2,1,0.7,0.13935737311840057,-1.559012532234192,-2.890015125274658,-1.0,0.04160465434541365,0.5,2.7169999999999996,0.0,0.4285714328289032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,1,0.0,RB,,,,,,,,,,,,,,,
00-0035261,Tony Pollard,RB,TEN,NYJ,2024,2,0,0.61,0.2222222238779068,0.4338679909706116,-1.4734736680984497,0.0,0.8673222387824078,0.375,2.9855714285714288,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,18.75,1,1.0,RB,,,,,,,,,,,,,,,
00-0035537,Ty Johnson,RB,BUF,MIA,2024,2,0,0.23,0.07786799222230911,-0.7053477168083191,-1.402999758720398,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,1.0,0.0,23.0,2,0.0,RB,,,,,,,,,,,,,,,
00-0035594,Travis Homer,RB,CHI,HOU,2024,2,0,0.2,0.0,0.4808083474636078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.75,4,0.0,RB,,,,,,,,,,,,,,,
00-0035628,D'Ernest Johnson,RB,JAX,CLE,2024,2,0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,22.25,3,,RB,,,,,,,,,,,,,,,
00-0035685,David Montgomery,RB,DET,TB,2024,2,1,0.49,0.061058059334754944,6.476436138153076,-0.6173636317253113,1.0,0.7842805761938312,0.5625,2.8229375,5.88235294117647,0.4444444477558136,0.0,0.0,0.0,0.3333333432674408,0.0,0.4444444477558136,0.0,1.0,0.0,29.5,1,1.0,RB,,,,,,,,,,,,,,,
00-0035700,Josh Jacobs,RB,GB,IND,2024,2,0,0.73,0.1132228672504425,2.0765023231506348,0.8317927718162537,-1.8181818723678589,2.372322953227239,0.375,3.337769230769231,6.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,19.5,1,0.0,RB,,,,,,,,,,,,,,,
00-0035806,Jamycal Hasty,RB,NE,SEA,2024,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.75,3,,RB,,,,,,,,,,,,,,,
00-0036139,Rico Dowdle,RB,DAL,NO,2024,2,0,0.44,0.05114300176501274,-1.331032395362854,0.2910953760147095,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,2,0.0,RB,,,,,,,,,,,,,,,
00-0036158,J.K. Dobbins,RB,LAC,CAR,2024,2,1,0.58,0.14818181097507477,7.102902889251709,-2.0097973346710205,-0.5714285969734192,9.810454611591844,0.4,2.9042000000000003,20.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,2.0,0.0,21.5,1,1.0,RB,,,,,,,,,,,,,,,
00-0036223,Jonathan Taylor,RB,IND,GB,2024,2,0,0.96,0.0,-2.4999077320098877,0.0,0.0,-0.7318775753710804,0.5625,2.5517692307692306,12.5,0.7142857313156128,0.0,0.0,0.0,0.75,0.0,1.4285714626312256,0.0,2.0,1.0,22.0,1,1.0,RB,,,,,,,,,,,,,,,
00-0036251,Zack Moss,RB,CIN,KC,2024,2,0,0.65,0.21121753752231598,2.4841268062591553,-0.6686869859695435,17.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,20.5,1,1.0,RB,,,,,,,,,,,,,,,
00-0036275,D'Andre Swift,RB,CHI,HOU,2024,2,0,0.7,0.05499516427516937,-4.199670314788818,-0.8565911054611206,0.0,-1.0196132761898076,0.3333333333333333,3.2648333333333333,10.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.75,1,0.0,RB,,,,,,,,,,,,,,,
