player_id,player_display_name,position,team,opponent_team,avg_avg_expected_yac,avg_avg_intended_air_yards,avg_avg_separation,avg_avg_time_to_los,avg_avg_yac_above_expectation,avg_carries,avg_catch_percentage,avg_endzone_target_share,avg_endzone_targets,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_percent_attempts_gte_eight_defenders,avg_percent_share_of_intended_air_yards,avg_racr,avg_receiving_air_yards,avg_receiving_epa,avg_receiving_yards,avg_receptions,avg_redzone_carry_share,avg_redzone_target_share,avg_rush_pct_over_expected,avg_rush_yards_over_expected_per_att,avg_rushing_epa,avg_rushing_yards,avg_scored_touchdown,avg_wopr,target_share,recent_team,team_continuity,passing_tds_allowed_to_WR,rushing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,rushing_tds_allowed_to_RB,implied_total,opponent_encoded,rush_matchup_value,pass_matchup_value,season,week,depth_chart_rank
00-0031484,Chris Manhertz,TE,NYG,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097218909903999,0.2586625588431827,0.0,0.0800000515117551,0.3484463984672031,0.0,0.0,1.4463403082842798,4.2568320622075095,0.4908625621190692,6.400193492016983,0.7796781219072138,0.0,0.062623076105594,0.0,0.0,0.0,0.0,0.2400147720254448,0.0737539298312727,0.0357142873108387,NYG,1,1.6391316894068069,0.7925472521417857,0.0521349270382857,0.430995845716023,0.219428981623824,19.5,8,0.0,0.026990285647469362,0.0,0.0,4
00-0031503,Jameis Winston,QB,NYG,DAL,0.0,0.0,0.0,0.0,0.0,3.199313697923636,0.0,0.0,0.0,0.0288000886753338,0.0,0.95124293226112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665288596044221,0.0,0.0,0.0,2.5591848699176283,16.98518031295656,0.1440011690464241,0.0,0.0,CLE,0,1.6391316894068069,0.7925472521417857,0.0521349270382857,0.430995845716023,0.219428981623824,19.5,8,0.2112367152959685,0.0,2025.0,1.0,3
00-0031588,Stefon Diggs,WR,NE,MIA,4.374851966598714,10.993160127584732,3.073816825973469,0.0,-0.0422494338568999,0.467068927796152,67.21750591880728,0.0095204435952593,0.3048130256665784,0.0,0.0113124369178664,0.7050485252124431,0.0,37.17651107003595,0.7859537366871275,85.01096419382783,1.5815965972194093,64.5803352388929,5.386002750436577,0.0060287386169311,0.067243497125561,0.0,0.0,-0.50874016592539,-1.201621196188439,0.2077400814142998,0.6675994702479708,0.155555555555556,NE,1,1.2403171612406507,1.1046886226599922e-05,0.4154989844335978,0.5780809676988804,0.0899449272770583,21.5,19,0.0,0.08340326346666968,2025.0,1.0,1
00-0031763,DeAndre Carter,WR,CLE,BAL,0.8091594606960525,1.5356152853912897,0.4816445412191411,0.0,0.1663063449077471,0.0269136487421881,7.23533714971749,0.0027798636454306,0.1443342863405792,0.0,0.000213154652119,0.1926265817149485,0.0,1.8889627248565728,0.8039215664713103,17.708920953085794,-0.5022815234532682,10.264302967385918,1.431689050464338,0.0005038848321008,0.1071652837741237,0.0,0.0,0.0618716973867193,0.2901484664897819,5.55023406273158e-05,0.1323994458390986,0.0,CLE,1,0.2819570259897885,0.0832581390322449,0.149751850387805,0.6110832421286152,0.1838780778662122,17.0,2,0.0,0.030216004702303654,2025.0,1.0,5
00-0032211,Tyler Lockett,WR,TEN,LA,0.0218874333734385,0.0802760102320408,0.0118066236069322,0.0,-0.0072547153321327,5.17300017577448e-12,0.3549370940704524,0.0025344876990372,0.0788495480555626,0.0,0.0007752939331879,0.625986471599234,0.0,0.1695642468076254,0.8152044859408852,41.71152064541726,0.2913191202315968,22.51518096518444,2.096343027561365,0.0,0.2641091975286705,0.0,0.0,-9.14517814612104e-13,2.004537568112612e-11,0.0082389547123542,0.3374185444918729,0.04,TEN,1,1.1320759884669973,0.1555915426050026,0.0518452674130167,1.0443887245307475,0.0583862999955867,18.0,16,0.0,0.2989916808554951,2025.0,1.0,3
00-0032268,Marcus Mariota,QB,WAS,GB,0.0,0.0,0.0,0.0,0.0,6.630028652902033,0.0,0.0,0.0,0.0166686447652679,0.0,0.592773371786942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615063428325542,0.0,0.0,0.0,0.8152253739576729,25.127760198746973,0.0205564677056075,0.0,0.0,WAS,1,1.0296074635324106,0.00403111172615,0.3230714696342126,0.0235953973985927,0.573340535307702,22.5,11,0.0002479389398249112,0.0,2025.0,1.0,2
00-0032385,Sterling Shepard,WR,TB,HOU,0.9986273445237902,1.3880518335959235,0.5823316683744529,0.0,-0.0620980396053425,0.2912543962219839,12.326821084950048,0.0027096748302382,0.0866850326942213,0.0,0.0192316639199537,0.5140787118376529,0.0,3.979498897281208,0.7657024054257368,27.822026829267465,0.7161558154987491,20.589642181619364,1.5934974846248495,0.0093212297582411,0.0348583380474116,0.0,0.0,0.2213246053632162,3.7292460417205184,0.0015200946618531,0.2060408875397513,0.2,TB,1,0.7409899347580217,0.3841380058248714,0.002741029836145,0.6129109245203378,0.4316232921382998,20.0,12,0.0,0.025829677635524583,2025.0,1.0,5
00-0032392,Austin Hooper,TE,NE,MIA,1.4958680920553382,3.19332171708108,1.112069862250441,0.0,0.1803564670793906,0.0,38.385575512048696,0.0041599785212477,0.1489017924142206,0.0,0.0005228376927592,0.5884832104309745,0.0,6.649298074737865,1.34248109772894,26.51283768617428,-0.4401305744427902,32.173592646261724,3.628260032797829,0.0,0.1621189527939505,0.0,0.0,0.0,0.0,0.0834664282967654,0.328329218400935,0.0222222222222222,NE,1,1.2403171612406507,1.1046886226599922e-05,0.4154989844335978,0.5780809676988804,0.0899449272770583,21.5,19,0.0,0.09371788111345601,2025.0,1.0,2
00-0032398,Chris Moore,WR,WAS,GB,0.0003783340647014,0.0051853878379184,0.000842507102923,0.0,-3.1907862476939224e-05,0.0300550743261197,0.0179730635719219,7.148752390399048e-06,0.0002660997741786,0.0,2.437438969092664e-05,0.6720915623498092,0.0,0.0105777015419628,0.7855692971692833,42.5965099437661,1.0503169493585869,27.5849457447462,2.0182965016251586,0.0,0.0004143976354165,0.0,0.0,0.0183706202589097,0.4438085589698175,3.123469097963807e-06,0.3446153925788017,0.0344827586206897,WAS,1,1.0296074635324106,0.00403111172615,0.3230714696342126,0.0235953973985927,0.573340535307702,22.5,11,0.0,0.0004266668982950112,2025.0,1.0,6
00-0032434,Brandon Allen,QB,TEN,LA,0.0,0.0,0.0,0.0,0.0,1.7266943397887142,0.0,0.0,0.0,0.0103815591912958,0.0,0.5459529312790574,0.0,0.0,0.0,0.011624688441877,-0.0007268597628673,0.0,0.0,0.0362530644933313,0.0003632715138086,0.0,0.0,-0.4841754273558424,1.8779589075594256,0.0,0.0001309571425348,0.0,SF,0,1.1320759884669973,0.1555915426050026,0.0518452674130167,1.0443887245307475,0.0583862999955867,18.0,16,0.005640670228676065,0.0,2025.0,1.0,2
